32个省份（包括自治区、直辖市）,name,区域代码,city,经度-角度,纬度-角度,经度-弧度,纬度-弧度,南侧或北侧（南侧为-1，北侧为1，直接筛选即可）
青海省,黄南藏族自治州,632300,6323,102.02,35.52,1.780584903,0.61994095,1
青海省,海南藏族自治州,632500,6325,100.62,36.28,1.756150293,0.633205453,1
青海省,果洛藏族自治州,632600,6326,100.23,34.48,1.749343509,0.601789526,1
青海省,玉树藏族自治州,632700,6327,97.02,33,1.69331844,0.575958653,1
青海省,海西蒙古族藏族自治州,632800,6328,94.9,36.42,1.65631746,0.635648914,1
宁夏回族自治区,银川市,640100,6401,106.28,38.48,1.854935929,0.671602696,1
宁夏回族自治区,石嘴山市,640200,6402,106.38,39.02,1.856681258,0.681027474,1
宁夏回族自治区,吴忠市,640300,6403,106.2,37.98,1.853539666,0.66287605,1
宁夏回族自治区,固原市,640400,6404,106.28,36,1.854935929,0.628318531,1
宁夏回族自治区,中卫市,640500,6405,105.18,37.52,1.835737307,0.654847535,1
新疆维吾尔自治区,乌鲁木齐市,650100,6501,87.65,43.78,1.529781089,0.764105147,1
新疆维吾尔自治区,克拉玛依市,650200,6502,84.85,44.32,1.48091187,0.773529924,1
新疆维吾尔自治区,吐鲁番地区,652100,6521,89.17,42.95,1.556310094,0.749618914,1
新疆维吾尔自治区,哈密地区,652200,6522,93.52,42.83,1.632231916,0.747524519,1
新疆维吾尔自治区,昌吉回族自治州,652300,6523,87.3,44.02,1.523672437,0.768293937,1
新疆维吾尔自治区,博尔塔拉蒙古自治州,652700,6527,82.07,44.9,1.432391717,0.783652834,1
新疆维吾尔自治区,巴音郭楞蒙古自治州,652800,6528,86.15,41.77,1.503601151,0.729024029,1
新疆维吾尔自治区,阿克苏地区,652900,6529,80.27,41.17,1.400975791,0.718552053,1
新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,653000,6530,76.17,39.72,1.329417291,0.693244779,1
新疆维吾尔自治区,喀什地区,653100,6531,75.98,39.47,1.326101166,0.688881456,1
新疆维吾尔自治区,和田地区,653200,6532,79.92,37.12,1.394867138,0.647866218,1
新疆维吾尔自治区,伊犁哈萨克自治州,654000,6540,81.32,43.92,1.419301748,0.766548607,1
新疆维吾尔自治区,塔城地区,654200,6542,82.98,46.75,1.448274213,0.815941425,1
新疆维吾尔自治区,阿勒泰地区,654300,6543,88.13,47.85,1.53815867,0.835140047,1
新疆维吾尔自治区,自治区直辖县级行政区划,659000,6590,86.03,44.3,1.501506755,0.773180859,1
